image_id,numeric_label,final_label,cell_area,chromatin_area,cell_area_ratio_over_tissue,cell_area_ratio_over_image,chromatin_area_ratio_over_tissue,chromatin_area_ratio_over_cell,chromatin_skeleton_length,chromatin_skeleton_length_ratio_over_cell,cell_mean_lab_l,cell_std_lab_l,cell_mean_lab_a,cell_std_lab_a,cell_mean_lab_b,cell_std_lab_b,chromatin_mean_lab_l,chromatin_std_lab_l,chromatin_mean_lab_a,chromatin_std_lab_a,chromatin_mean_lab_b,chromatin_std_lab_b,cell_number_of_components,cell_largest_component_area,cell_largest_component_ratio,cell_mean_component_area,cell_std_component_area,cell_component_density,cell_granularity_index,cell_skeleton_length,cell_skeleton_length_ratio,cell_total_perimeter,cell_compactness,cell_centroid_x,cell_centroid_y,chromatin_number_of_components,chromatin_largest_component_area,chromatin_largest_component_ratio,chromatin_mean_component_area,chromatin_std_component_area,chromatin_component_density,chromatin_granularity_index,chromatin_skeleton_length_ratio,chromatin_total_perimeter,chromatin_compactness,chromatin_centroid_x,chromatin_centroid_y
7110.png,0,NMF,5537,1627,0.3719602310896144,0.33795166015625,0.1092973263469031,0.2938414303774607,258,0.0465956294022033,28.058662,9.219887,49.293797,4.892102,-54.05549,4.260936,17.786648,5.5710607,45.293053,4.94343,-53.659084,4.891773,4,4059,0.7330684486183854,1384.25,1549.494384765625,0.0002687088539567,0.0007224128589488,411,0.0276098347440548,1005.2071067811866,0.0688609939008013,91.27864005912788,58.74747474747475,10,426,0.2618315918869084,162.6999969482422,144.27822875976562,0.0018060321473722,0.0061462814996926,0.0465956294022033,689.0,0.0430684233256215,94.94835680751174,79.80516431924883
3489.png,0,NMF,5908,1860,0.3633232888506242,0.360595703125,0.1143841092183752,0.3148273527420447,303,0.0512863913337847,30.322584,7.640193,55.41416,6.4280586,-42.75502,5.924817,22.284288,4.883721,49.320858,4.7724543,-42.86432,5.215353,5,3160,0.5348679756262694,1181.5999755859375,1094.1851806640625,0.0003074841645655,0.0008463100880162,578,0.0355451694237746,1268.414213562373,0.0461453719248559,73.73037974683544,97.81962025316456,19,212,0.1139784946236559,97.89473724365234,66.06208801269531,0.0032159783344617,0.0102150537634408,0.0512863913337847,935.0,0.0267361941636398,19.23584905660377,48.5
4277.png,1,AMF,5572,1937,0.3648507071765322,0.340087890625,0.126833420639078,0.3476310122038765,322,0.057788944723618,26.723509,11.531539,36.525093,7.1830235,-13.761179,9.477103,14.389196,6.1459227,31.537382,6.2232966,-19.217052,6.348782,7,1515,0.2718951902368988,796.0,430.4034729003906,0.0004583551597695,0.0012562814070351,446,0.0292037716081718,1232.207106781187,0.0461162041671845,19.73795379537954,85.53729372937293,13,322,0.1662364481156427,149.0,116.14381408691406,0.0023330940416367,0.0067114093959731,0.057788944723618,853.0,0.0334534892779139,27.018633540372672,104.40993788819875
9373.png,1,AMF,3949,544,0.2443083395199208,0.24102783203125,0.0336550358822073,0.1377563940238035,60,0.0151937199290959,34.48441,12.40671,41.954113,7.46642,-9.998131,6.369945,12.003257,7.0949955,30.785933,10.506717,-12.271579,7.5222936,5,1378,0.3489491010382375,789.7999877929688,345.1598815917969,0.0003093293739173,0.0012661433274246,428,0.0264785944073249,868.8284271247462,0.0657398870416283,109.18795355587808,51.28156748911466,4,428,0.7867647058823529,136.0,171.49343872070312,0.0010129146619397,0.0073529411764705,0.0151937199290959,185.0,0.1997401202107053,71.17523364485982,64.09345794392523
6450.png,0,NMF,2039,635,0.1289608500411106,0.12445068359375,0.0401619125924988,0.3114271701814615,100,0.0490436488474742,29.393255,14.102315,41.994083,5.822824,-50.46886,5.5409303,13.945408,7.0879617,40.280365,8.616724,-51.28652,7.275584,4,991,0.4860225600784698,509.75,320.5880432128906,0.0002529884257795,0.0019617459538989,131,0.0082853709442792,441.0,0.1317497836944398,20.41876892028254,79.11604439959636,6,303,0.4771653543307086,105.83333587646484,98.36397552490234,0.0029426189308484,0.0094488188976377,0.0490436488474742,290.0,0.0948828221179319,64.06270627062706,62.254125412541256
5232.png,0,NMF,5193,1945,0.3478231748158071,0.31695556640625,0.1302746148693905,0.3745426535721163,313,0.0602734450221452,25.766453,12.159294,35.111973,7.619096,-15.685045,6.6911993,13.686174,6.738085,29.91595,8.709812,-17.888681,6.2930474,11,1044,0.2010398613518197,472.0909118652344,244.7530975341797,0.0007367716008037,0.0021182360870402,343,0.0229738780977896,1164.414213562373,0.0481297039700225,27.63122605363985,42.6580459770115,8,353,0.1814910025706941,243.125,95.84027862548828,0.0015405353360292,0.0041131105398457,0.0602734450221452,872.0,0.0321437469027867,71.71388101983003,9.81586402266289
9216.png,0,NMF,5666,1869,0.3571833827144928,0.3458251953125,0.1178213452688646,0.3298623367454995,298,0.0525944228732792,30.796774,12.130837,38.23084,7.0270667,-17.021463,12.578208,16.857016,7.1208935,34.35727,7.3715057,-23.850489,8.270015,6,1523,0.26879632897988,944.3333129882812,376.568115234375,0.0003782386685998,0.0010589481115425,430,0.0271071045829918,1147.0,0.0541202256148742,38.22521339461589,107.40446487196324,12,321,0.1717495987158908,155.75,97.95672607421876,0.002117896223085,0.0064205457463884,0.0525944228732792,846.0,0.0328154556810764,59.20560747663552,8.429906542056075
4128.png,1,AMF,3559,980,0.262482483958994,0.21722412109375,0.0722767165720185,0.2753582466985108,99,0.0278168024726046,24.70985,13.061365,29.069904,6.3092566,-21.850393,5.4792967,9.51217,5.829542,25.285393,8.086775,-23.057915,5.7081456,11,583,0.1638100590053385,323.5454406738281,114.77833557128906,0.0008112692676451,0.0030907558302894,248,0.0182904343978169,941.2071067811866,0.0504855923855524,48.21440823327616,113.852487135506,8,274,0.2795918367346939,122.5,102.6535415649414,0.0022478224220286,0.0081632653061224,0.0278168024726046,372.0,0.0889918140975256,81.75547445255475,91.94890510948905
4685.png,0,NMF,7000,1577,0.437636761487965,0.42724609375,0.0985933104095029,0.2252857142857142,270,0.0385714285714285,28.185392,11.209476,37.41111,6.9850707,-16.03472,6.298965,14.08131,7.0697627,30.474936,9.25625,-20.152802,5.7168655,6,2007,0.2867142857142857,1166.6666259765625,451.080810546875,0.0003751172241325,0.0008571428571428,484,0.030259456080025,1271.0,0.0544523720151427,35.58046836073742,36.187344294967616,16,323,0.2048192771084337,98.5625,90.1443099975586,0.0022857142857142,0.010145846544071,0.0385714285714285,807.0,0.0304294769878255,96.48606811145513,86.91331269349845
7589.png,0,NMF,7818,445,0.4819975339087546,0.4771728515625,0.0274352651048088,0.0569199283704272,14,0.001790739319519,47.85107,10.945692,58.568317,9.642083,-49.084873,4.64035,9.0800295,6.607743,34.336666,10.794804,-47.162136,9.972975,1,7818,1.0,7818.0,0.0,6.165228113440197e-05,0.0001279099513942,507,0.0312577065351418,966.4142135623732,0.1051910796676344,74.0685597339473,78.08007162957279,1,445,1.0,445.0,0.0,0.0001279099513942,0.0022471910112359,0.001790739319519,94.0,0.6328695024207596,64.55505617977528,64.69662921348315
