image_id,filename,coordinateX,coordinateY,Tumor,Scanner,Origin,Species,expert1,expert2,expert3,majority,source_csv_image_id,image_id_for_processing,image_path,final_label,numeric_label
1.png,201.tiff,5047,459,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1.png,1.png,data/raw/images/1.png,NMF,0
2.png,201.tiff,5824,603,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2.png,2.png,data/raw/images/2.png,NMF,0
3.png,201.tiff,2658,2519,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF,3.png,3.png,data/raw/images/3.png,NMF,0
4.png,201.tiff,2768,2108,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,4.png,4.png,data/raw/images/4.png,AMF,1
5.png,201.tiff,4097,1978,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,AMF,AMF,5.png,5.png,data/raw/images/5.png,AMF,1
6.png,201.tiff,4189,2496,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,6.png,6.png,data/raw/images/6.png,NMF,0
7.png,201.tiff,5752,3560,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,7.png,7.png,data/raw/images/7.png,NMF,0
8.png,201.tiff,6265,3299,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,8.png,8.png,data/raw/images/8.png,AMF,1
9.png,201.tiff,1615,4451,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,9.png,9.png,data/raw/images/9.png,NMF,0
10.png,201.tiff,2859,4239,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,10.png,10.png,data/raw/images/10.png,NMF,0
11.png,201.tiff,2076,3936,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,11.png,11.png,data/raw/images/11.png,NMF,0
12.png,201.tiff,2870,3724,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,12.png,12.png,data/raw/images/12.png,NMF,0
13.png,201.tiff,3665,3780,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,13.png,13.png,data/raw/images/13.png,NMF,0
14.png,201.tiff,3493,3825,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,14.png,14.png,data/raw/images/14.png,NMF,0
15.png,201.tiff,6508,3763,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,15.png,15.png,data/raw/images/15.png,NMF,0
16.png,201.tiff,6100,3363,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,16.png,16.png,data/raw/images/16.png,NMF,0
19.png,202.tiff,984,867,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,19.png,19.png,data/raw/images/19.png,NMF,0
20.png,202.tiff,2295,976,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,20.png,20.png,data/raw/images/20.png,NMF,0
21.png,202.tiff,5269,282,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,21.png,21.png,data/raw/images/21.png,AMF,1
22.png,202.tiff,712,1134,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,22.png,22.png,data/raw/images/22.png,NMF,0
23.png,202.tiff,2361,1681,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,23.png,23.png,data/raw/images/23.png,NMF,0
24.png,202.tiff,2813,1834,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,24.png,24.png,data/raw/images/24.png,AMF,1
25.png,202.tiff,3067,1231,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,25.png,25.png,data/raw/images/25.png,NMF,0
26.png,202.tiff,3699,1384,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,26.png,26.png,data/raw/images/26.png,NMF,0
27.png,202.tiff,4241,1607,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,27.png,27.png,data/raw/images/27.png,NMF,0
28.png,202.tiff,595,3240,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,28.png,28.png,data/raw/images/28.png,NMF,0
29.png,202.tiff,3012,3092,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,29.png,29.png,data/raw/images/29.png,NMF,0
30.png,202.tiff,265,4410,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,30.png,30.png,data/raw/images/30.png,NMF,0
31.png,202.tiff,1006,4448,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,31.png,31.png,data/raw/images/31.png,AMF,1
32.png,202.tiff,2216,3901,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,32.png,32.png,data/raw/images/32.png,NMF,0
33.png,202.tiff,203,4569,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,33.png,33.png,data/raw/images/33.png,NMF,0
34.png,202.tiff,1195,2417,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,34.png,34.png,data/raw/images/34.png,NMF,0
36.png,203.tiff,2023,219,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,36.png,36.png,data/raw/images/36.png,NMF,0
37.png,203.tiff,5315,373,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,37.png,37.png,data/raw/images/37.png,NMF,0
38.png,203.tiff,1600,2398,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,38.png,38.png,data/raw/images/38.png,AMF,1
39.png,203.tiff,3401,2647,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,39.png,39.png,data/raw/images/39.png,NMF,0
40.png,203.tiff,3303,2000,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,40.png,40.png,data/raw/images/40.png,NMF,0
41.png,203.tiff,789,3432,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,41.png,41.png,data/raw/images/41.png,NMF,0
42.png,203.tiff,2638,3495,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,42.png,42.png,data/raw/images/42.png,AMF,1
43.png,203.tiff,2939,2739,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,43.png,43.png,data/raw/images/43.png,NMF,0
44.png,203.tiff,3403,2843,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,44.png,44.png,data/raw/images/44.png,NMF,0
45.png,203.tiff,3978,3469,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,45.png,45.png,data/raw/images/45.png,NMF,0
46.png,203.tiff,4476,3381,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,46.png,46.png,data/raw/images/46.png,NMF,0
47.png,203.tiff,1022,3789,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,47.png,47.png,data/raw/images/47.png,NMF,0
48.png,203.tiff,4419,3774,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,48.png,48.png,data/raw/images/48.png,NMF,0
49.png,203.tiff,4903,4367,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,49.png,49.png,data/raw/images/49.png,NMF,0
