image_id_for_processing,image_path,skip_reason,image_id,filename,coordinateX,coordinateY,Tumor,Scanner,Origin,Species,expert1,expert2,expert3,majority,source_csv_image_id
8927.png,data/raw/images/8927.png,image_file_not_found_in_csv,,,,,,,,,,,,,
17.png,,csv_image_not_present_in_images_dir,17.png,201.tiff,537.0,4919.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,17.png
18.png,,csv_image_not_present_in_images_dir,18.png,201.tiff,17.0,67.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,18.png
35.png,,csv_image_not_present_in_images_dir,35.png,203.tiff,2055.0,45.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,35.png
69.png,,csv_image_not_present_in_images_dir,69.png,204.tiff,54.0,3205.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,69.png
76.png,,csv_image_not_present_in_images_dir,76.png,205.tiff,4674.0,25.0,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,76.png
97.png,,csv_image_not_present_in_images_dir,97.png,205.tiff,6562.0,4276.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,97.png
98.png,,csv_image_not_present_in_images_dir,98.png,205.tiff,1214.0,4880.0,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF,98.png
99.png,,csv_image_not_present_in_images_dir,99.png,205.tiff,4418.0,4890.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,99.png
102.png,,csv_image_not_present_in_images_dir,102.png,206.tiff,4307.0,43.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,102.png
106.png,,csv_image_not_present_in_images_dir,106.png,206.tiff,58.0,4869.0,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF,106.png
152.png,,csv_image_not_present_in_images_dir,152.png,212.tiff,1186.0,26.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,152.png
174.png,,csv_image_not_present_in_images_dir,174.png,212.tiff,6516.0,3916.0,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,174.png
240.png,,csv_image_not_present_in_images_dir,240.png,218.tiff,2464.0,4873.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,240.png
293.png,,csv_image_not_present_in_images_dir,293.png,220.tiff,6539.0,3639.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,293.png
295.png,,csv_image_not_present_in_images_dir,295.png,220.tiff,195.0,4878.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,295.png
326.png,,csv_image_not_present_in_images_dir,326.png,221.tiff,2254.0,54.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,326.png
615.png,,csv_image_not_present_in_images_dir,615.png,240.tiff,6544.0,2813.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,615.png
623.png,,csv_image_not_present_in_images_dir,623.png,241.tiff,6515.0,343.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,623.png
624.png,,csv_image_not_present_in_images_dir,624.png,241.tiff,6514.0,1541.0,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,624.png
752.png,,csv_image_not_present_in_images_dir,752.png,245.tiff,6520.0,3700.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,752.png
756.png,,csv_image_not_present_in_images_dir,756.png,245.tiff,6530.0,4641.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,756.png
757.png,,csv_image_not_present_in_images_dir,757.png,245.tiff,5954.0,4885.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,757.png
758.png,,csv_image_not_present_in_images_dir,758.png,245.tiff,6061.0,4882.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,758.png
764.png,,csv_image_not_present_in_images_dir,764.png,246.tiff,649.0,54.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,764.png
840.png,,csv_image_not_present_in_images_dir,840.png,246.tiff,61.0,3851.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,840.png
865.png,,csv_image_not_present_in_images_dir,865.png,246.tiff,2322.0,4916.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,865.png
868.png,,csv_image_not_present_in_images_dir,868.png,246.tiff,4051.0,4917.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,868.png
869.png,,csv_image_not_present_in_images_dir,869.png,246.tiff,5049.0,4900.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,869.png
888.png,,csv_image_not_present_in_images_dir,888.png,247.tiff,2656.0,4903.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,888.png
910.png,,csv_image_not_present_in_images_dir,910.png,249.tiff,57.0,2052.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,910.png
945.png,,csv_image_not_present_in_images_dir,945.png,249.tiff,39.0,2983.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,945.png
996.png,,csv_image_not_present_in_images_dir,996.png,249.tiff,6224.0,4890.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,996.png
1039.png,,csv_image_not_present_in_images_dir,1039.png,251.tiff,2144.0,4919.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1039.png
1040.png,,csv_image_not_present_in_images_dir,1040.png,251.tiff,6097.0,4875.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1040.png
1046.png,,csv_image_not_present_in_images_dir,1046.png,252.tiff,43.0,853.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1046.png
1076.png,,csv_image_not_present_in_images_dir,1076.png,253.tiff,2534.0,20.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1076.png
1080.png,,csv_image_not_present_in_images_dir,1080.png,253.tiff,5478.0,17.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1080.png
1113.png,,csv_image_not_present_in_images_dir,1113.png,253.tiff,6568.0,3185.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1113.png
1135.png,,csv_image_not_present_in_images_dir,1135.png,253.tiff,2545.0,4904.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1135.png
1162.png,,csv_image_not_present_in_images_dir,1162.png,254.tiff,6555.0,2109.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1162.png
1275.png,,csv_image_not_present_in_images_dir,1275.png,255.tiff,6544.0,497.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1275.png
1286.png,,csv_image_not_present_in_images_dir,1286.png,256.tiff,3633.0,26.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1286.png
1326.png,,csv_image_not_present_in_images_dir,1326.png,256.tiff,3155.0,4919.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1326.png
1353.png,,csv_image_not_present_in_images_dir,1353.png,258.tiff,3161.0,32.0,canine lymphoma,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,1353.png
1356.png,,csv_image_not_present_in_images_dir,1356.png,258.tiff,5364.0,39.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,1356.png
1357.png,,csv_image_not_present_in_images_dir,1357.png,258.tiff,5504.0,49.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1357.png
1380.png,,csv_image_not_present_in_images_dir,1380.png,260.tiff,37.0,1615.0,canine lymphoma,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,1380.png
1422.png,,csv_image_not_present_in_images_dir,1422.png,260.tiff,3488.0,4878.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1422.png
1459.png,,csv_image_not_present_in_images_dir,1459.png,261.tiff,55.0,4521.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1459.png
1461.png,,csv_image_not_present_in_images_dir,1461.png,261.tiff,37.0,3756.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1461.png
1478.png,,csv_image_not_present_in_images_dir,1478.png,262.tiff,833.0,15.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1478.png
1506.png,,csv_image_not_present_in_images_dir,1506.png,262.tiff,14.0,1472.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1506.png
1569.png,,csv_image_not_present_in_images_dir,1569.png,262.tiff,4771.0,4917.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1569.png
1575.png,,csv_image_not_present_in_images_dir,1575.png,262.tiff,58.0,3262.0,canine lymphoma,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,1575.png
1605.png,,csv_image_not_present_in_images_dir,1605.png,264.tiff,46.0,3622.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1605.png
1642.png,,csv_image_not_present_in_images_dir,1642.png,266.tiff,2910.0,17.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1642.png
1702.png,,csv_image_not_present_in_images_dir,1702.png,267.tiff,3303.0,45.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1702.png
1703.png,,csv_image_not_present_in_images_dir,1703.png,267.tiff,3345.0,18.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1703.png
1711.png,,csv_image_not_present_in_images_dir,1711.png,267.tiff,26.0,1606.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,1711.png
1751.png,,csv_image_not_present_in_images_dir,1751.png,267.tiff,37.0,3375.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1751.png
1786.png,,csv_image_not_present_in_images_dir,1786.png,267.tiff,3082.0,4902.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1786.png
1788.png,,csv_image_not_present_in_images_dir,1788.png,267.tiff,4763.0,4920.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1788.png
1818.png,,csv_image_not_present_in_images_dir,1818.png,268.tiff,4901.0,59.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1818.png
1944.png,,csv_image_not_present_in_images_dir,1944.png,268.tiff,2940.0,4892.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1944.png
1950.png,,csv_image_not_present_in_images_dir,1950.png,268.tiff,3275.0,4906.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1950.png
