image_id,numeric_label,final_label,image_area,tissue_area,cell_area,chromatin_area,cell_area_ratio_over_tissue,cell_area_ratio_over_image,chromatin_area_ratio_over_tissue,chromatin_area_ratio_over_cell,number_of_components,largest_component_area,largest_component_ratio,mean_component_area,std_component_area,component_density_over_cell,granularity_index,chromatin_skeleton_length,chromatin_skeleton_length_ratio_over_cell,total_perimeter,compactness,centroid_x,centroid_y,image_mean_rgb_r,image_std_rgb_r,image_mean_rgb_g,image_std_rgb_g,image_mean_rgb_b,image_std_rgb_b,image_mean_hsv_h,image_std_hsv_h,image_mean_hsv_s,image_std_hsv_s,image_mean_hsv_v,image_std_hsv_v,image_mean_lab_l,image_std_lab_l,image_mean_lab_a,image_std_lab_a,image_mean_lab_b,image_std_lab_b,cell_mean_rgb_r,cell_std_rgb_r,cell_mean_rgb_g,cell_std_rgb_g,cell_mean_rgb_b,cell_std_rgb_b,cell_mean_hsv_h,cell_std_hsv_h,cell_mean_hsv_s,cell_std_hsv_s,cell_mean_hsv_v,cell_std_hsv_v,cell_mean_lab_l,cell_std_lab_l,cell_mean_lab_a,cell_std_lab_a,cell_mean_lab_b,cell_std_lab_b,chromatin_mean_rgb_r,chromatin_std_rgb_r,chromatin_mean_rgb_g,chromatin_std_rgb_g,chromatin_mean_rgb_b,chromatin_std_rgb_b,chromatin_mean_hsv_h,chromatin_std_hsv_h,chromatin_mean_hsv_s,chromatin_std_hsv_s,chromatin_mean_hsv_v,chromatin_std_hsv_v,chromatin_mean_lab_l,chromatin_std_lab_l,chromatin_mean_lab_a,chromatin_std_lab_a,chromatin_mean_lab_b,chromatin_std_lab_b,cell_number_of_components,cell_largest_component_area,cell_largest_component_ratio,cell_mean_component_area,cell_std_component_area,cell_component_density,cell_granularity_index,cell_skeleton_length,cell_skeleton_length_ratio,cell_total_perimeter,cell_compactness,cell_centroid_x,cell_centroid_y,chromatin_number_of_components,chromatin_largest_component_area,chromatin_largest_component_ratio,chromatin_mean_component_area,chromatin_std_component_area,chromatin_component_density,chromatin_granularity_index,chromatin_skeleton_length_ratio,chromatin_total_perimeter,chromatin_compactness,chromatin_centroid_x,chromatin_centroid_y
6365.png,0,NMF,16384,15487,4679,1433,0.302124362368438,0.28558349609375,0.0925292180538516,0.3062620217995298,8,500,0.3489183531053733,179.125,149.58645629882812,0.0017097670442402,0.0055826936496859,209,0.0446676640307758,579.0,0.0537154139570538,62.106,64.202,0.63786715,0.2304791,0.40207723,0.23328675,0.75889236,0.16126117,0.7802828,0.040041048,0.51650846,0.22692886,0.7616989,0.15997715,53.219215,21.142452,40.589027,11.228207,-37.981117,12.7159395,0.37508962,0.17085136,0.1562213,0.11438987,0.57824266,0.13821521,0.7510115,0.033602595,0.7633689,0.14679049,0.5836598,0.13849752,29.851477,13.032594,45.519215,7.2187576,-48.276352,7.704635,0.18717884,0.10496822,0.036561415,0.03914671,0.41949782,0.095184006,0.7300198,0.032120205,0.92599875,0.07510573,0.42188552,0.096347526,15.014232,7.037926,40.352848,7.6682997,-47.271267,8.010134,4,2986,0.6381705492626629,1169.75,1069.7210693359375,0.0002582811390198,0.0008548835221201,349,0.0225350293794795,877.0,0.0764475765503401,52.66342933690556,31.216342933690555,8,500,0.3489183531053733,179.125,149.58645629882812,0.0017097670442402,0.0055826936496859,0.0446676640307758,579.0,0.0537154139570538,62.106,64.202
781.png,0,NMF,16384,16384,5989,1976,0.36553955078125,0.36553955078125,0.12060546875,0.3299382200701286,12,755,0.3820850202429149,164.6666717529297,203.3844146728516,0.0020036734012355,0.0060728744939271,366,0.0611120387376857,877.0,0.0322847641084573,58.56953642384106,55.30728476821192,0.6362749,0.1577118,0.17623848,0.12523723,0.64929575,0.116157144,0.82664037,0.025608264,0.7588288,0.13688141,0.676614,0.13154724,42.037083,11.7287655,60.485767,8.151729,-39.34777,6.468677,0.52727276,0.13624214,0.09583054,0.07676007,0.5669633,0.09285786,0.817659,0.024614679,0.8488839,0.09294745,0.58395314,0.10841217,33.667152,9.125286,57.971,7.0486784,-40.319664,5.7171874,0.4089639,0.08481187,0.042192567,0.031191967,0.4874836,0.06762041,0.80314064,0.017062044,0.91959155,0.056738537,0.48919445,0.06833968,25.679855,5.641673,52.316883,5.5107865,-40.85216,4.055548,3,4710,0.7864418099849725,1996.3333740234373,1931.8026123046875,0.00018310546875,0.0005009183503088,553,0.03375244140625,981.4142135623732,0.0781374960904529,72.40106157112527,57.90509554140127,12,755,0.3820850202429149,164.6666717529297,203.3844146728516,0.0020036734012355,0.0060728744939271,0.0611120387376857,877.0,0.0322847641084573,58.56953642384106,55.30728476821192
7186.png,0,NMF,16384,16382,5823,865,0.3554511048712001,0.35540771484375,0.0528018556952753,0.1485488579769878,16,352,0.4069364161849711,54.0625,81.39215850830078,0.0027477245406148,0.0184971098265895,162,0.0278207109737248,473.0,0.0485851658990148,63.78409090909091,64.22727272727273,0.7253845,0.15081401,0.26433396,0.14113584,0.7018548,0.12728599,0.8409136,0.020199543,0.6647792,0.14124589,0.7391408,0.13821004,49.285454,12.46191,59.718304,6.4326086,-35.542126,5.764869,0.61411375,0.13756739,0.16368131,0.10332717,0.61402386,0.11525608,0.83258915,0.021912057,0.76363045,0.123731434,0.6389786,0.12215642,40.051384,10.322139,59.10624,5.91061,-37.128063,5.9434376,0.44701168,0.111130334,0.053110786,0.050590403,0.4861873,0.08696545,0.8175234,0.02557059,0.9047377,0.08852791,0.4978159,0.08832159,27.653044,7.450709,53.321,6.7596474,-37.28851,6.3767395,3,4234,0.7271166065601924,1941.0,1621.7847900390625,0.0001831278232206,0.0005151983513652,782,0.0477353192528384,1779.4497474683058,0.0231092152851484,54.1176192725555,88.78247520075578,16,352,0.4069364161849711,54.0625,81.39215850830078,0.0027477245406148,0.0184971098265895,0.0278207109737248,473.0,0.0485851658990148,63.78409090909091,64.22727272727273
6982.png,0,NMF,16384,16232,3118,758,0.1920896993592903,0.1903076171875,0.0466978807294233,0.2431045542014111,6,290,0.3825857519788918,126.33333587646484,104.90259552001952,0.0019243104554201,0.0079155672823219,93,0.0298268120590121,292.0,0.1117154828026394,62.15172413793103,65.18275862068965,0.72665983,0.21412683,0.4642141,0.19804491,0.80210894,0.15203507,0.7995347,0.031154795,0.45646164,0.19004743,0.80310416,0.15276231,59.526203,18.78252,40.819054,7.5198636,-34.17218,9.401604,0.36377087,0.15291888,0.14509669,0.10793486,0.55227375,0.14007351,0.7537168,0.023304278,0.77113664,0.14970003,0.55227524,0.14007433,28.347393,12.423693,44.150608,8.076939,-46.550938,6.6635985,0.17536071,0.10462869,0.023854014,0.034283627,0.37603378,0.12263941,0.7307413,0.030251276,0.9509299,0.068657525,0.37603378,0.12263941,13.059786,7.4196553,36.73479,12.810153,-42.791084,10.826195,10,493,0.1581141757536882,311.79998779296875,95.98625183105467,0.0006160670280926,0.0032071840923669,253,0.0155864958107442,874.0,0.051293591598076,66.54969574036511,19.935091277890468,6,290,0.3825857519788918,126.33333587646484,104.90259552001952,0.0019243104554201,0.0079155672823219,0.0298268120590121,292.0,0.1117154828026394,62.15172413793103,65.18275862068965
11122.png,0,NMF,16384,16110,7823,1718,0.4855990068280571,0.47747802734375,0.1066418373680943,0.2196088457113639,16,501,0.2916181606519208,107.375,129.37391662597656,0.0020452511824108,0.009313154831199,284,0.0363032084877924,789.0,0.034679994274039,69.1437125748503,99.69860279441116,0.5941679,0.22707321,0.36962578,0.20175268,0.5421819,0.17095557,0.8605645,0.0771417,0.4439941,0.17509323,0.6092652,0.20901711,47.187054,20.374403,30.413237,6.7791686,-14.70172,7.932501,0.4238125,0.1657249,0.21705417,0.12233266,0.41771433,0.12012217,0.83004576,0.064940095,0.5594467,0.16276939,0.45108858,0.14388646,31.681492,13.799538,31.391064,6.2679873,-19.678028,6.5260663,0.25697082,0.10604256,0.09140258,0.054765433,0.29299667,0.07950255,0.7929787,0.09205695,0.7217528,0.15471607,0.3034966,0.08415983,17.12012,7.5796814,28.796824,7.6367736,-22.212303,6.6348076,5,2597,0.3319698325450594,1564.5999755859375,591.5222778320312,0.0003103662321539,0.0006391409945033,633,0.039292364990689,1527.0,0.0421604385913336,25.391990758567577,35.18213323065075,16,501,0.2916181606519208,107.375,129.37391662597656,0.0020452511824108,0.009313154831199,0.0363032084877924,789.0,0.034679994274039,69.1437125748503,99.69860279441116
4857.png,1,AMF,16384,15946,6046,1089,0.3791546469334002,0.3690185546875,0.0682929888373259,0.1801190869996692,11,409,0.3755739210284665,99.0,120.90567016601562,0.0018193847171683,0.0101010101010101,147,0.0243135957657955,487.0,0.0577005325275948,28.491442542787286,96.21026894865524,0.6642813,0.2194428,0.38310495,0.20381144,0.55164677,0.1713591,0.8921051,0.06009276,0.47497484,0.17309202,0.6683245,0.21175046,50.413616,20.029892,34.896915,7.765073,-11.016405,7.201554,0.45310915,0.16495298,0.19623138,0.10747725,0.3999242,0.11683179,0.85610294,0.06375882,0.61667514,0.15405254,0.4627251,0.15165141,31.481144,13.089936,35.561344,7.39515,-16.97768,5.65523,0.22444314,0.12583959,0.056028202,0.049324635,0.23890948,0.09800592,0.7941471,0.113175616,0.8152677,0.16864225,0.25393632,0.108811304,13.305106,8.53357,26.930422,11.510425,-18.59741,7.0546737,6,1808,0.2990406880582203,1007.6666870117188,570.5216064453125,0.0003762699109494,0.00099239166391,340,0.021321961620469,1115.0,0.0611122497813473,60.01382743362832,16.079092920353983,11,409,0.3755739210284665,99.0,120.90567016601562,0.0018193847171683,0.0101010101010101,0.0243135957657955,487.0,0.0577005325275948,28.491442542787286,96.21026894865524
682.png,0,NMF,16384,16305,5362,1686,0.3288561790861699,0.3272705078125,0.1034038638454461,0.3144349123461395,20,210,0.1245551601423487,84.30000305175781,66.08563232421875,0.0037299515106303,0.0118623962040332,249,0.046437896307348,813.0,0.0320543033876166,66.93333333333334,38.13809523809524,0.6499448,0.1941183,0.21943311,0.17862773,0.60188496,0.17058955,0.8496879,0.019470748,0.7077728,0.17344083,0.65521234,0.18884291,43.333027,16.567022,54.814808,8.867251,-29.663548,5.350533,0.47169873,0.11270465,0.0868387,0.08112075,0.45263097,0.09554729,0.83999735,0.019133247,0.83803535,0.10723836,0.48153096,0.10636566,29.066404,8.780678,50.578724,6.3327885,-29.491468,4.9641767,0.37011376,0.061822005,0.035199236,0.027173532,0.37099642,0.051976603,0.83234364,0.018071631,0.91406614,0.063343845,0.38581687,0.055186875,21.588245,4.2809854,45.43837,4.1970124,-28.31989,4.397423,6,3177,0.592502797463633,893.6666870117188,1049.9036865234375,0.0003679852805887,0.0011189854531891,553,0.0339159766942655,1416.6213203435595,0.0335760131476406,85.48536355051935,35.44790683034309,20,210,0.1245551601423487,84.30000305175781,66.08563232421875,0.0037299515106303,0.0118623962040332,0.046437896307348,813.0,0.0320543033876166,66.93333333333334,38.13809523809524
10608.png,0,NMF,16384,16337,6027,1328,0.3689171818571341,0.36785888671875,0.0812878741507008,0.2203417952546872,19,227,0.170933734939759,69.89473724365234,70.492919921875,0.0031524805043968,0.0143072289156626,252,0.0418118466898954,745.0,0.0300673666517165,63.71806167400881,61.5726872246696,0.75581264,0.15484026,0.25074917,0.16223241,0.69890124,0.13667855,0.8507991,0.017012201,0.696095,0.15534441,0.7594702,0.14938514,50.11396,13.470228,62.443745,8.11099,-33.670685,4.8014836,0.6434795,0.13642512,0.14856161,0.11751581,0.60728437,0.11606374,0.8441789,0.016637951,0.7933533,0.12726858,0.6508474,0.12837079,40.871525,10.80584,61.452095,6.5567794,-34.712055,4.4990187,0.5084808,0.10781025,0.05736949,0.04746863,0.50097024,0.084943414,0.83457357,0.020094825,0.90117395,0.07832902,0.52550477,0.09119048,30.843885,7.194704,56.700577,6.6566114,-34.40835,5.1941442,5,2423,0.4020242243238759,1205.4000244140625,744.0101318359375,0.0003060537430372,0.000829600132736,673,0.0411948338128175,1464.0,0.035336936985252,72.53033429632687,91.60751134956664,19,227,0.170933734939759,69.89473724365234,70.492919921875,0.0031524805043968,0.0143072289156626,0.0418118466898954,745.0,0.0300673666517165,63.71806167400881,61.5726872246696
10603.png,0,NMF,16384,16361,4014,690,0.2453395269237821,0.2449951171875,0.0421734612798728,0.1718983557548579,14,204,0.2956521739130435,49.28571319580078,54.99665832519531,0.0034877927254608,0.0202898550724637,111,0.0276532137518684,390.0,0.0570072039704656,64.13725490196079,66.68137254901961,0.73469704,0.15004742,0.23252958,0.15081042,0.6847247,0.13393913,0.84889233,0.012705124,0.7098321,0.14625625,0.7369013,0.14622329,48.388725,12.830051,62.429066,6.916298,-34.319553,3.6470983,0.6126723,0.13468722,0.13124216,0.11043685,0.5849285,0.11529976,0.84176886,0.014425531,0.81057614,0.12405491,0.6186948,0.12554926,38.684593,10.587751,60.203293,5.9736156,-34.79427,3.2986343,0.46785414,0.12605222,0.044512562,0.041417927,0.4710592,0.09027102,0.82940817,0.021742566,0.92001075,0.07186461,0.48726913,0.09866127,28.079155,8.328598,54.193222,8.1334715,-34.07234,3.3748477,8,1652,0.4115595416043846,501.75,544.1775512695312,0.000488967667013,0.001993024414549,563,0.0344110995660411,1330.8284271247462,0.0284802038911267,19.033292978208237,51.455205811138015,14,204,0.2956521739130435,49.28571319580078,54.99665832519531,0.0034877927254608,0.0202898550724637,0.0276532137518684,390.0,0.0570072039704656,64.13725490196079,66.68137254901961
11282.png,0,NMF,16384,16108,6447,878,0.4002359076235411,0.39349365234375,0.0545070772287062,0.1361873739723902,8,339,0.3861047835990888,109.75,106.66858673095705,0.0012408872343725,0.0091116173120728,92,0.0142702031952846,350.0,0.0900675379543457,61.3952802359882,112.08259587020648,0.67330277,0.19279833,0.33595425,0.18819524,0.51554936,0.15747581,0.90417457,0.06849331,0.543033,0.16780812,0.6742397,0.19037774,48.160484,17.767452,40.308662,7.7829113,-8.943426,6.6431575,0.51394963,0.14289144,0.17913437,0.08789974,0.38497493,0.09758204,0.8877617,0.06440124,0.6761002,0.1295714,0.51624084,0.1371593,33.23606,10.633919,41.941494,7.3768616,-11.774933,6.7478876,0.27998516,0.13865969,0.054577585,0.04628964,0.25451437,0.099412344,0.8126598,0.14347503,0.8298809,0.17288886,0.29503316,0.12112788,16.185541,8.745068,32.112797,12.673654,-16.790058,7.437248,5,2862,0.4439274080967892,1289.4000244140625,842.8961181640625,0.0003104047678172,0.0007755545214828,520,0.0322820958529923,1379.207106781187,0.0425900903708563,84.74633123689728,77.91544374563243,8,339,0.3861047835990888,109.75,106.66858673095705,0.0012408872343725,0.0091116173120728,0.0142702031952846,350.0,0.0900675379543457,61.3952802359882,112.08259587020648
