image_id,filename,coordinateX,coordinateY,Tumor,Scanner,Origin,Species,expert1,expert2,expert3,majority
1.png,201.tiff,5047,459,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
2.png,201.tiff,5824,603,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
3.png,201.tiff,2658,2519,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF
4.png,201.tiff,2768,2108,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
5.png,201.tiff,4097,1978,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,AMF,AMF
6.png,201.tiff,4189,2496,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
7.png,201.tiff,5752,3560,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
8.png,201.tiff,6265,3299,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
9.png,201.tiff,1615,4451,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
10.png,201.tiff,2859,4239,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
11.png,201.tiff,2076,3936,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
12.png,201.tiff,2870,3724,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
13.png,201.tiff,3665,3780,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
14.png,201.tiff,3493,3825,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
15.png,201.tiff,6508,3763,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
16.png,201.tiff,6100,3363,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
17.png,201.tiff,537,4919,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
18.png,201.tiff,17,67,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
19.png,202.tiff,984,867,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
20.png,202.tiff,2295,976,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
21.png,202.tiff,5269,282,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
22.png,202.tiff,712,1134,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
23.png,202.tiff,2361,1681,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
24.png,202.tiff,2813,1834,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
25.png,202.tiff,3067,1231,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
26.png,202.tiff,3699,1384,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
